Age,Course,Universities_ID,Faculty/Department,Duration,Key Skills,Dominance,Extraversion,Patience,Formality,Recommended Career
30,LLB,8,ECONOMICS,1,"Programming,Data Structures",2,3,2,7,Public Defender
23,LLB,6,SCIENCE,2,"Programming,Data Structures",9,2,3,3,Public Defender
34,Diploma in Crop Production,3,SCIENCE,3,"Legal Research,Negotiation",4,4,5,5,Agronomist
27,BEng Industrial Engineering,9,ENGINEERING,4,"Programming,Data Structures",3,2,5,7,Operations Manager
25,BCOM Logistics,7,HEALTH,1,"Legal Research,Negotiation",3,1,2,9,Logistics Manager
33,BEng Industrial Engineering,6,SCIENCE,4,"Programming,Data Structures",1,9,9,3,Operations Manager
26,BCOM Economics,3,SCIENCE,1,"Legal Research,Negotiation",6,8,5,3,Economist
31,MBBCH Medicine and Surgery,9,ENGINEERING,3,"Legal Research,Negotiation",9,1,8,8,General Practitioner
29,BCOM Accounting,8,SCIENCE,1,"Legal Research,Negotiation",5,3,7,3,Accountant
20,MBBCH Medicine and Surgery,4,ENGINEERING,1,"Financial Analysis,Excel",4,6,9,6,General Practitioner
34,Diploma in Information Technology,5,LAW,2,"Programming,Data Structures",5,4,3,7,IT Support Specialist
22,Fitting and Turning,1,LAW,1,"Legal Research,Negotiation",8,4,5,9,Mechanical Technician
24,Diploma in Information Technology,9,ENGINEERING,2,"Programming,Data Structures",4,5,4,6,IT Support Specialist
25,Bachelor of Computer Science,1,SCIENCE,3,"Legal Research,Negotiation",9,7,5,9,Software Engineer
28,BEng Industrial Engineering,4,ECONOMICS,3,"Legal Research,Negotiation",3,5,4,3,Operations Manager
22,Bachelor of Computer Science,8,ECONOMICS,3,"Programming,Data Structures",8,3,1,3,Software Engineer
34,Diploma in Information Technology,8,HEALTH,2,"Legal Research,Negotiation",6,1,3,2,IT Support Specialist
26,Boiler Making,4,ENGINEERING,3,"Financial Analysis,Excel",9,8,9,9,Welding Technician
31,Bachelor of Computer Science,9,SCIENCE,2,"Financial Analysis,Excel",8,1,1,9,Software Engineer
20,Bed Degree in Foundation Phase Teaching,9,HEALTH,3,"Financial Analysis,Excel",4,8,4,9,Primary School Teacher
24,Boiler Making,8,HEALTH,4,"Financial Analysis,Excel",4,9,8,8,Welding Technician
34,Bed Degree in Foundation Phase Teaching,3,SCIENCE,4,"Financial Analysis,Excel",9,7,1,3,Primary School Teacher
26,BEng Industrial Engineering,7,LAW,3,"Programming,Data Structures",1,4,7,2,Operations Manager
34,Fitting and Turning,3,LAW,1,"Legal Research,Negotiation",6,1,9,7,Mechanical Technician
24,BEng Industrial Engineering,5,SCIENCE,4,"Programming,Data Structures",2,2,4,3,Operations Manager
27,LLB,1,HEALTH,2,"Programming,Data Structures",8,4,2,7,Public Defender
26,Bachelor of Computer Science,8,LAW,2,"Legal Research,Negotiation",7,8,6,7,Software Engineer
31,MBBCH Medicine and Surgery,3,LAW,2,"Programming,Data Structures",5,1,1,3,General Practitioner
34,BCOM Accounting,9,SCIENCE,1,"Legal Research,Negotiation",7,8,5,2,Accountant
31,Bachelor of Nursing,5,ENGINEERING,1,"Programming,Data Structures",5,8,5,3,Registered Nurse
32,BSc Geology and Geography,3,HEALTH,3,"Legal Research,Negotiation",1,5,4,3,Geologist
24,BSc Geology and Geography,9,ECONOMICS,3,"Financial Analysis,Excel",2,4,3,5,Geologist
24,BEng Civil Engineering,1,LAW,1,"Programming,Data Structures",8,2,2,7,Civil Engineer
32,BEng Civil Engineering,3,SCIENCE,2,"Programming,Data Structures",7,6,3,3,Civil Engineer
20,BCOM Law,1,ENGINEERING,4,"Legal Research,Negotiation",1,1,1,8,Corporate Lawyer
21,BSc in Agriculture in Animal Science,6,HEALTH,2,"Legal Research,Negotiation",2,5,3,6,Agronomist
28,BCOM Logistics,6,HEALTH,4,"Financial Analysis,Excel",8,1,8,9,Logistics Manager
31,BCOM Accounting,2,SCIENCE,1,"Programming,Data Structures",1,2,1,2,Accountant
31,BCOM Economics,8,LAW,1,"Legal Research,Negotiation",9,8,2,8,Economist
34,BCOM Economics,7,LAW,3,"Financial Analysis,Excel",5,2,8,5,Economist
29,BCOM Logistics,7,ENGINEERING,1,"Programming,Data Structures",3,3,2,9,Logistics Manager
33,Diploma in Crop Production,5,ECONOMICS,2,"Programming,Data Structures",2,1,7,9,Agronomist
34,BCOM Accounting,6,SCIENCE,1,"Legal Research,Negotiation",2,5,6,5,Accountant
20,Bachelor of Nursing,7,ENGINEERING,4,"Legal Research,Negotiation",8,6,9,6,Registered Nurse
22,BCOM Law,6,LAW,1,"Financial Analysis,Excel",6,1,5,2,Corporate Lawyer
24,LLB,9,ECONOMICS,2,"Financial Analysis,Excel",2,5,7,5,Public Defender
22,Diploma in Information Technology,1,ENGINEERING,4,"Legal Research,Negotiation",1,6,7,5,IT Support Specialist
25,BCOM Logistics,2,SCIENCE,4,"Programming,Data Structures",4,6,6,6,Logistics Manager
28,Fitting and Turning,3,LAW,4,"Programming,Data Structures",4,9,8,2,Mechanical Technician
31,LLB,7,ENGINEERING,1,"Financial Analysis,Excel",5,4,5,4,Public Defender
34,LLB,7,SCIENCE,3,"Financial Analysis,Excel",1,8,6,3,Public Defender
25,BCOM Logistics,1,ENGINEERING,2,"Financial Analysis,Excel",7,1,2,2,Logistics Manager
